match_api_id,target,target_binary
875909,2,1
857096,0,0
2030149,1,1
1479182,2,1
1709862,0,0
1709715,0,0
1052013,0,0
1536587,0,0
1778398,2,1
1988767,1,1
1778255,0,0
1051462,0,0
1990009,2,1
1786127,1,1
1474248,0,0
1479122,2,1
888261,1,1
1051994,2,1
1083344,2,1
1025556,0,0
1990121,0,0
1030268,0,0
1029923,2,1
1988933,0,0
1724152,0,0
1287340,1,1
1239682,2,1
829917,0,0
1988942,2,1
1019339,0,0
1506005,0,0
1786295,2,1
1990081,0,0
1025081,2,1
2002194,1,1
1724106,2,1
1239566,1,1
1989896,1,1
1506077,0,0
1724085,1,1
1229419,0,0
1051709,1,1
1239581,2,1
1724179,1,1
1025894,1,1
1216912,0,0
2002155,0,0
1506170,2,1
856936,0,0
1468341,2,1
1474924,0,0
2030505,0,0
1287080,2,1
829872,0,0
1724101,2,1
2030212,2,1
1505954,1,1
1989900,0,0
1468557,0,0
875455,2,1
1506025,0,0
1990134,0,0
875873,0,0
1474738,0,0
2060327,0,0
1988785,1,1
1051859,0,0
1474998,2,1
1286966,2,1
1479118,0,0
1019355,1,1
1229405,0,0
1536705,2,1
1506183,1,1
1778200,2,1
1724205,2,1
1778325,1,1
857046,0,0
1083227,0,0
1710018,1,1
1710016,0,0
830152,2,1
1989890,1,1
1505937,2,1
1778413,2,1
1709983,0,0
2060482,1,1
1020126,0,0
1989041,2,1
1988768,1,1
1474424,0,0
1786141,0,0
857283,0,0
1229439,0,0
1216829,0,0
2002302,2,1
1709946,0,0
839937,2,1
2002314,0,0
840071,0,0
1990022,2,1
1778254,2,1
1468521,2,1
830102,2,1
1989030,2,1
1778046,0,0
1990133,0,0
1709879,0,0
2060399,1,1
1709917,1,1
1030405,2,1
1228237,0,0
1506172,0,0
1710059,0,0
1020224,1,1
875859,0,0
2002422,0,0
1989071,1,1
1260317,2,1
1239763,2,1
1989939,0,0
1988749,1,1
1474241,2,1
839985,0,0
1989806,0,0
1786088,1,1
875506,0,0
2030402,1,1
1475010,0,0
1024506,1,1
1019398,2,1
1732921,0,0
1990096,0,0
1786012,2,1
875750,1,1
1506174,1,1
1479102,0,0
1506185,2,1
1786229,2,1
1287333,1,1
1988762,0,0
1479163,2,1
888229,2,1
1732974,0,0
1474183,2,1
1989828,0,0
2030506,1,1
1030184,0,0
1468447,2,1
1468194,0,0
1474329,0,0
875769,1,1
1786334,2,1
830175,1,1
1260040,0,0
1216834,1,1
1229385,0,0
1988950,0,0
840006,0,0
857388,0,0
857186,0,0
1732846,1,1
1217052,2,1
1786149,1,1
1020222,0,0
1259400,0,0
1216956,0,0
1475097,0,0
1786236,1,1
1229467,1,1
875663,2,1
1709951,0,0
1217128,0,0
839829,1,1
1216982,1,1
1506150,1,1
1030216,1,1
1024192,1,1
1019767,0,0
1468530,2,1
1724327,2,1
1228316,0,0
1786038,0,0
1536882,2,1
1229361,0,0
1229500,2,1
1083397,1,1
1051691,1,1
1778308,2,1
1474930,1,1
1724330,2,1
1029839,2,1
1019578,0,0
1287304,2,1
2030362,0,0
830121,0,0
1506118,0,0
1990063,1,1
875730,2,1
2060298,1,1
2002427,0,0
1479294,0,0
1287129,0,0
1051896,0,0
1536566,0,0
1506004,1,1
1474949,2,1
1030199,0,0
1468496,1,1
1479193,0,0
1051934,2,1
1778257,1,1
1505880,1,1
2060501,1,1
1239715,2,1
875928,0,0
2002167,0,0
1260272,1,1
2030173,2,1
830249,2,1
1990007,0,0
839844,0,0
1083365,0,0
1479073,0,0
1989069,2,1
875627,1,1
1229443,0,0
1260198,2,1
1019625,2,1
1732776,1,1
2002298,2,1
1536720,0,0
1051620,0,0
840192,0,0
1051746,2,1
1024845,1,1
1217127,0,0
1082950,1,1
1536549,1,1
2002160,0,0
2002316,2,1
2060514,0,0
1468419,0,0
1724073,2,1
1988769,0,0
1536565,1,1
829969,0,0
1286979,0,0
830065,0,0
2060578,0,0
2030219,1,1
1287142,0,0
875510,1,1
1468445,2,1
1468401,2,1
1051770,1,1
1989023,0,0
1024531,2,1
1479285,0,0
1778166,0,0
1990110,0,0
1474577,2,1
1989845,0,0
875478,0,0
888311,0,0
1732897,2,1
1083002,2,1
1051721,2,1
1724013,0,0
830334,2,1
2002310,0,0
1474373,0,0
1988920,1,1
839993,0,0
1778203,2,1
1506074,0,0
1259973,0,0
1989934,2,1
1029759,0,0
1287276,1,1
2060394,1,1
839845,2,1
1020200,1,1
1724300,2,1
888220,0,0
1479234,1,1
1988993,0,0
875683,1,1
1051961,0,0
1709811,0,0
1025802,0,0
1051703,1,1
888318,0,0
1287050,0,0
1217144,2,1
1217143,1,1
1474224,2,1
2060614,0,0
1479063,0,0
1778208,1,1
1778191,2,1
1051884,1,1
1217133,2,1
1051737,2,1
1468219,0,0
1778148,0,0
1709799,0,0
839975,1,1
1474177,1,1
2060606,2,1
1468254,0,0
1229432,0,0
2002137,0,0
2002338,0,0
829963,2,1
1260067,0,0
1468449,2,1
1083392,1,1
2002215,0,0
1536602,2,1
2060591,0,0
1259968,1,1
1030211,1,1
1989982,2,1
1988928,0,0
2060536,2,1
1020119,0,0
1709972,0,0
1229375,2,1
1724305,2,1
1536854,0,0
1239518,0,0
888160,1,1
1051809,2,1
1019488,1,1
1025771,0,0
1019352,0,0
1024671,2,1
2030422,2,1
1989849,0,0
856926,2,1
1732781,2,1
1217089,0,0
1287296,0,0
1260179,2,1
1536683,0,0
1030266,1,1
2002443,0,0
1287086,0,0
1030053,1,1
1475062,2,1
829892,0,0
840060,2,1
1287342,0,0
1287164,0,0
1030409,2,1
1260281,2,1
1786263,0,0
1229441,1,1
1506067,0,0
888186,2,1
1083048,0,0
1506027,0,0
1239605,0,0
1724178,0,0
2002180,2,1
1229476,0,0
1025255,0,0
888521,2,1
1786201,0,0
856974,0,0
1709909,0,0
1468206,0,0
1479212,0,0
1474415,2,1
1019560,0,0
875722,0,0
2002218,1,1
1732967,2,1
1229382,0,0
840092,0,0
1029850,0,0
875813,2,1
1709926,0,0
1732774,0,0
1988825,0,0
2060417,0,0
857219,0,0
1506002,0,0
1260078,0,0
1019940,1,1
1710040,1,1
1260217,2,1
1536650,1,1
1260090,2,1
1083296,1,1
1260221,0,0
1239622,0,0
1990069,2,1
1051919,1,1
1216935,0,0
1030345,2,1
1786377,2,1
1468533,2,1
830216,0,0
1229264,0,0
840106,2,1
1229370,2,1
1260320,0,0
1229208,1,1
1479290,2,1
1051722,1,1
875649,0,0
1019765,0,0
1988891,1,1
1479276,0,0
2030152,0,0
1468410,0,0
1506045,2,1
1287271,1,1
839824,0,0
1786126,2,1
1229262,1,1
1724211,2,1
1019849,0,0
840099,0,0
1785974,0,0
857091,0,0
2060330,0,0
1732669,1,1
1474337,0,0
1709871,0,0
1988740,1,1
1287249,2,1
1709905,1,1
1025117,1,1
2060256,0,0
1019734,1,1
875483,1,1
1051763,1,1
1020220,1,1
1989863,0,0
1724239,1,1
1287327,0,0
1468423,0,0
2030142,0,0
1988968,0,0
1020106,2,1
840153,0,0
1988804,1,1
830528,1,1
1989037,0,0
1239481,2,1
1474610,2,1
1724025,0,0
2002129,2,1
1505596,0,0
1709885,0,0
1030387,0,0
1479176,2,1
1030382,1,1
857395,1,1
1778082,2,1
888181,2,1
1536770,1,1
2030225,1,1
1778086,1,1
2030390,0,0
1536738,1,1
1229335,1,1
840209,0,0
1019338,1,1
1479197,1,1
1260168,0,0
1229488,1,1
1239657,2,1
1724014,1,1
888296,0,0
2002341,1,1
1083173,1,1
1286968,0,0
1536762,0,0
1990046,0,0
1229462,1,1
1260228,0,0
1709781,0,0
1709717,0,0
1724129,0,0
1051990,0,0
1229454,0,0
1082953,1,1
1217189,0,0
1474356,0,0
1287144,2,1
856995,2,1
856941,2,1
1239609,2,1
1778383,1,1
2060595,1,1
1479174,0,0
888353,2,1
1988789,1,1
839881,0,0
839919,1,1
1724083,2,1
2030199,2,1
2060586,2,1
888472,0,0
1216979,0,0
1216930,1,1
1709942,2,1
1987041,2,1
875729,2,1
1506155,2,1
1052026,1,1
2060276,1,1
1709997,0,0
875816,0,0
2002293,1,1
1287139,2,1
1724191,0,0
1709826,0,0
1506010,1,1
829940,0,0
1239696,0,0
1505885,0,0
830243,1,1
1217093,0,0
1506090,0,0
1989954,0,0
1260094,2,1
1506158,2,1
1506130,2,1
888316,0,0
1030070,0,0
1724346,0,0
1216840,0,0
1030396,1,1
1030049,0,0
1468323,0,0
1229357,1,1
1778283,2,1
1990023,1,1
1778236,0,0
1217187,0,0
1083194,0,0
1260321,0,0
1479222,2,1
856925,1,1
1474511,0,0
1260031,0,0
1474970,2,1
1988905,0,0
2002315,1,1
1287146,0,0
2030232,2,1
857022,1,1
1051810,1,1
839843,0,0
2030467,1,1
1733023,0,0
856950,1,1
1479279,1,1
1030378,0,0
830550,0,0
1020152,2,1
2060496,2,1
840084,0,0
1786000,0,0
1026108,1,1
2060280,0,0
1724321,1,1
1026125,0,0
1051869,0,0
1019637,0,0
1030364,0,0
2002335,0,0
1024737,2,1
1778123,0,0
2060278,2,1
1083120,1,1
888459,0,0
1778233,1,1
1026112,1,1
1229416,0,0
888474,2,1
1239719,0,0
1239680,1,1
888339,0,0
1723984,1,1
1778129,0,0
1479238,1,1
1229319,0,0
1990025,0,0
1083145,0,0
1259372,2,1
1239595,1,1
1051701,0,0
1479194,2,1
1506190,0,0
1732728,2,1
1778298,0,0
888501,0,0
830339,1,1
830325,2,1
1216868,0,0
875957,1,1
2030101,1,1
1026081,1,1
1217174,1,1
1479220,0,0
1505912,2,1
1287192,2,1
1724100,0,0
857372,0,0
1217041,0,0
1786326,0,0
1988903,1,1
1468536,1,1
1506163,2,1
1019882,1,1
1709789,2,1
1988941,0,0
1051992,1,1
1724007,1,1
1024830,1,1
1229201,2,1
1287288,0,0
1474191,2,1
1468261,0,0
857017,0,0
839987,2,1
1709780,2,1
1990047,0,0
830142,2,1
1025244,0,0
1051766,1,1
1474262,1,1
875544,2,1
1083151,0,0
1025033,1,1
1229473,0,0
2002221,2,1
1989036,0,0
1052016,0,0
1239751,1,1
1536676,1,1
1474455,0,0
1217115,0,0
1468338,1,1
1030401,0,0
1709839,0,0
1778105,2,1
1474550,0,0
2060355,1,1
2030109,0,0
1025515,0,0
1474142,0,0
1732991,0,0
1468576,1,1
1228469,2,1
1786346,1,1
1505979,0,0
2060332,2,1
1479203,2,1
1025845,0,0
1287329,1,1
1260213,1,1
840101,2,1
2030218,0,0
888537,2,1
1474535,0,0
2060307,1,1
1468184,2,1
2030368,0,0
1229162,0,0
830092,1,1
1709932,2,1
1239483,2,1
1778147,0,0
1287262,2,1
1239465,2,1
1732673,0,0
1030404,2,1
888394,0,0
1287236,2,1
1239610,0,0
1732865,1,1
1083389,1,1
1051865,1,1
1989927,0,0
2002232,0,0
1506108,0,0
1024700,0,0
2060553,1,1
1479039,0,0
1239536,2,1
1468486,2,1
1287110,2,1
1468241,0,0
1709960,0,0
839851,1,1
1287307,0,0
1988793,0,0
1732773,1,1
830063,1,1
1019478,1,1
1239685,0,0
1239579,2,1
1724122,0,0
1260204,1,1
840228,0,0
1474296,0,0
1216954,1,1
1988872,2,1
875878,1,1
1988995,1,1
1474172,2,1
1786041,0,0
1709706,0,0
1260037,2,1
1475049,0,0
1051617,0,0
1710030,2,1
1229289,1,1
830353,1,1
875908,0,0
1217010,2,1
1019992,0,0
1724102,1,1
1474391,1,1
829948,2,1
1260299,2,1
2030124,1,1
1732792,0,0
2030451,2,1
1287145,2,1
1724339,0,0
1778202,0,0
1778367,0,0
1239639,2,1
1990027,2,1
1030231,2,1
829887,0,0
1229324,1,1
1217070,1,1
1024445,0,0
1536772,0,0
1479125,2,1
1239603,2,1
1989897,2,1
1030346,0,0
1260260,2,1
1260302,0,0
1724123,1,1
1287172,1,1
1083331,1,1
839934,0,0
1082951,0,0
1474174,2,1
1239500,1,1
1286969,0,0
2060533,0,0
857226,1,1
1287037,0,0
875692,0,0
839928,1,1
875479,0,0
1536631,0,0
1260086,0,0
1051671,1,1
1083267,2,1
1051700,0,0
2060349,1,1
1778090,2,1
840055,0,0
1260006,1,1
1239721,0,0
1287220,1,1
2060516,0,0
1229493,0,0
1083037,2,1
1287199,0,0
1260044,2,1
839831,0,0
2060305,0,0
1030163,1,1
839798,2,1
1286978,1,1
1020017,2,1
2002207,1,1
856929,0,0
1709979,0,0
1710056,0,0
875749,2,1
2002449,2,1
1778240,2,1
888273,2,1
1989997,0,0
2030365,1,1
1229182,2,1
2030110,2,1
1239709,0,0
1710004,0,0
1468212,0,0
1468270,0,0
840096,0,0
875697,0,0
1083289,2,1
1019467,2,1
1505990,0,0
1710073,0,0
1216886,0,0
1474408,2,1
1051877,2,1
1051728,0,0
1025898,2,1
857252,0,0
1259977,1,1
1989864,1,1
839970,0,0
1239651,2,1
1786145,0,0
1229309,2,1
1506120,1,1
1724283,1,1
875691,2,1
1988829,1,1
1468567,0,0
1287099,1,1
2002311,0,0
1083121,0,0
1051751,1,1
888233,0,0
1778207,0,0
857406,0,0
1724272,2,1
1051976,0,0
829909,0,0
1083085,1,1
1019484,0,0
1505902,0,0
840145,0,0
1732722,1,1
1732802,0,0
2030403,1,1
1260274,1,1
2060257,2,1
2030363,0,0
1024175,1,1
888215,1,1
1786123,1,1
875955,0,0
2002439,0,0
1474911,2,1
1536859,1,1
1239493,1,1
1083130,1,1
1051968,0,0
830463,2,1
857012,0,0
888175,2,1
1024182,1,1
2001680,2,1
1506044,2,1
1229231,1,1
1732741,0,0
1724197,2,1
1239513,0,0
1474395,2,1
856959,2,1
830503,0,0
857393,0,0
2002146,1,1
1536880,2,1
2030140,0,0
1019807,1,1
1724155,2,1
1468266,1,1
1990078,1,1
2030188,0,0
1051805,0,0
1051679,0,0
1506028,0,0
1778172,0,0
1217137,2,1
888477,0,0
1025999,1,1
875818,0,0
1239490,1,1
1989933,1,1
857345,1,1
1468231,2,1
1505884,0,0
1475006,0,0
1778143,0,0
830131,1,1
1216885,2,1
1778265,2,1
1990135,1,1
1989960,2,1
1025483,0,0
1506132,0,0
829939,0,0
875973,0,0
1051850,1,1
1479214,2,1
2060304,0,0
840087,0,0
1019603,2,1
1709861,0,0
1260300,0,0
1505974,2,1
1029780,2,1
1479040,1,1
1239673,1,1
829984,2,1
1019581,0,0
1083124,1,1
875500,1,1
1030399,0,0
1479056,1,1
1217062,2,1
1051790,0,0
888374,0,0
1724010,2,1
888327,1,1
888287,0,0
1990089,2,1
2030441,2,1
1287318,2,1
1083129,1,1
857376,2,1
830095,0,0
1479158,0,0
2030148,0,0
1479052,0,0
840232,1,1
888182,1,1
1724137,2,1
1988823,0,0
2030372,2,1
839873,2,1
875778,0,0
1051941,0,0
888355,0,0
1778196,0,0
830516,1,1
1019918,1,1
1019533,0,0
1474503,1,1
1474233,0,0
1988761,0,0
1475086,2,1
2002303,0,0
1987037,0,0
888290,0,0
1778080,1,1
1536844,2,1
1239588,0,0
1724267,1,1
839799,1,1
1732916,1,1
1025993,0,0
1051776,0,0
1029761,0,0
1019963,1,1
2060471,2,1
1732900,1,1
1474068,0,0
839915,2,1
1229233,0,0
1260278,1,1
1024865,2,1
1506149,2,1
1475007,0,0
888197,1,1
1786040,1,1
1217184,2,1
1732972,0,0
875702,1,1
1025987,0,0
1724057,0,0
875460,1,1
1474268,1,1
1724063,1,1
857027,0,0
1724036,1,1
1468455,0,0
2060596,0,0
1019786,1,1
875480,1,1
856884,0,0
1732824,2,1
2030398,1,1
1479138,0,0
1778310,2,1
1024609,2,1
1709738,2,1
1989827,2,1
1083104,0,0
1030394,0,0
1709783,0,0
1536675,0,0
1778280,1,1
1536696,0,0
830505,1,1
1505996,0,0
1733011,0,0
1468553,0,0
1474522,2,1
1239574,0,0
1259971,0,0
2002235,1,1
2030464,1,1
1025587,2,1
1536552,1,1
1709787,1,1
856881,0,0
1030393,2,1
1229484,2,1
1479121,1,1
1709820,2,1
1216980,2,1
1083411,0,0
1479232,0,0
1051826,1,1
1083009,0,0
1051814,0,0
1709949,0,0
1786046,0,0
888297,1,1
839878,0,0
875558,1,1
1989955,1,1
1990037,2,1
1536764,1,1
1479270,2,1
1710020,2,1
1468480,1,1
1786382,0,0
888363,1,1
2002260,1,1
1020156,0,0
1474993,0,0
888242,2,1
1030242,0,0
840149,0,0
1051834,0,0
1989916,2,1
2060531,2,1
1229363,2,1
1990074,1,1
839840,2,1
1259354,0,0
1778360,0,0
888496,2,1
1786368,2,1
1732957,0,0
1287157,0,0
1989959,1,1
839836,0,0
830114,0,0
1052028,0,0
1724202,0,0
1474938,1,1
1778189,1,1
1536851,2,1
1724193,2,1
1260230,1,1
1239502,0,0
1051670,0,0
1051933,0,0
2060396,0,0
1024497,0,0
1468434,0,0
2030270,1,1
857147,2,1
1216905,2,1
840185,0,0
1468424,1,1
2060457,1,1
1786249,1,1
2060632,2,1
1479119,0,0
1051801,2,1
1025153,1,1
1216889,1,1
840194,0,0
857038,0,0
1217180,0,0
1030097,0,0
1778101,1,1
1724008,0,0
1536654,0,0
1990158,0,0
2060626,2,1
1536733,2,1
1030032,0,0
1468288,1,1
1474585,1,1
857216,0,0
1229365,0,0
1506144,0,0
1778132,2,1
1709762,2,1
1732830,0,0
1536637,0,0
1260034,1,1
1474905,0,0
1709723,2,1
1260137,1,1
888180,2,1
2030106,0,0
839894,0,0
1505955,0,0
1052017,0,0
1724001,0,0
1468402,0,0
1216843,1,1
2002339,0,0
1287168,1,1
2002343,0,0
1216838,0,0
840136,0,0
2002147,1,1
1732787,2,1
2002224,2,1
1505555,1,1
1029901,1,1
1019347,0,0
856874,0,0
1229427,2,1
1988838,2,1
1239580,0,0
1260151,0,0
830180,0,0
1468396,2,1
1709964,0,0
1733008,2,1
1733009,0,0
1474168,0,0
830085,0,0
1229331,1,1
1083391,2,1
1259983,0,0
856965,0,0
1505601,0,0
839924,1,1
1506076,2,1
829931,1,1
1786110,2,1
839960,0,0
1051733,1,1
1025919,2,1
1479173,0,0
1479035,2,1
1778231,2,1
1239749,2,1
1475055,0,0
1239660,2,1
1989057,1,1
1709759,0,0
1709730,0,0
1475083,2,1
1287243,1,1
1051956,0,0
1709724,2,1
2030533,2,1
1083201,2,1
1030182,2,1
1778052,2,1
857254,2,1
1287061,0,0
1988790,0,0
1989964,0,0
1468451,0,0
1051998,0,0
1083225,1,1
888173,1,1
1536782,0,0
1051864,2,1
1724034,0,0
1019926,1,1
1260043,2,1
888380,1,1
1217011,1,1
1475109,2,1
2030450,0,0
1778070,2,1
856904,1,1
1216967,2,1
1051948,2,1
1990048,0,0
1051464,1,1
1505857,2,1
1786031,1,1
830498,1,1
1030051,0,0
1082988,0,0
1260076,2,1
1287152,0,0
1989797,1,1
1778136,1,1
829952,0,0
1229468,0,0
1536823,0,0
1988871,0,0
1536630,0,0
840064,1,1
1506082,1,1
1474563,1,1
1287057,0,0
1732912,0,0
1709761,0,0
856917,0,0
2060608,0,0
1786301,0,0
856992,1,1
1988857,2,1
1030245,2,1
1260122,0,0
1216959,2,1
1229464,0,0
1051970,0,0
888241,1,1
857093,2,1
2030226,1,1
1724190,1,1
1786255,2,1
1479237,2,1
1479284,0,0
1536585,1,1
2030392,0,0
1019712,0,0
1024868,1,1
1479275,2,1
1505971,1,1
1287094,0,0
1260237,0,0
1474077,2,1
1786287,0,0
2060422,2,1
1287038,0,0
1988845,0,0
830540,0,0
1479044,0,0
875448,0,0
1468452,0,0
1723983,2,1
1536731,2,1
1287049,0,0
1732876,0,0
2002153,1,1
1724358,0,0
1474402,0,0
1025836,0,0
1217116,0,0
1988774,0,0
856954,0,0
830323,0,0
1724184,0,0
1259967,2,1
1030191,0,0
1474578,0,0
1239636,0,0
1239641,0,0
1083187,0,0
1083183,1,1
1229288,2,1
1260035,2,1
1239587,0,0
840215,2,1
1217047,0,0
1229465,2,1
875787,1,1
1025011,2,1
888196,0,0
1536607,0,0
1505960,0,0
856898,0,0
1216999,0,0
1987084,0,0
1475098,0,0
1536828,0,0
1020256,0,0
2002252,1,1
875874,2,1
1025810,2,1
1474171,2,1
1988747,2,1
856931,0,0
1260121,2,1
1479205,1,1
1479287,2,1
2030512,2,1
1988988,0,0
857164,2,1
2002237,0,0
1732963,0,0
1536702,2,1
1260167,0,0
830470,0,0
1505597,1,1
857098,2,1
2060645,0,0
2030396,1,1
875988,2,1
875645,1,1
2030083,0,0
1239586,0,0
1709770,2,1
1217049,1,1
1024554,2,1
1505997,0,0
857380,2,1
1260311,2,1
1786294,2,1
1479242,1,1
857366,2,1
1083327,2,1
2060299,0,0
1030384,0,0
1029823,2,1
1083147,0,0
2030382,0,0
1786347,0,0
875997,0,0
839869,2,1
888263,0,0
2002097,2,1
1536879,2,1
1778162,2,1
856895,0,0
2060365,2,1
888251,0,0
2030532,0,0
875752,0,0
1468514,0,0
2002216,1,1
1083298,0,0
